iteration,configured_iterations,total_steps,steps_per_second,mean_reward,mean_dist_to_ball,goal_per_1k_steps,mean_episode_goals_total,iteration_time_seconds,elapsed_seconds
207,500,10223616,4241.0,87.64,1.0973,0.3174,700.1667,11.59,2369
208,500,10272768,4243.0,87.71,1.1022,0.2645,703.4167,11.58,2381
209,500,10321920,4251.0,82.26,1.0994,0.3133,704.4584,11.56,2392
210,500,10371072,4241.0,94.92,1.0631,0.2177,706.25,11.59,2404
211,500,10420224,4233.0,90.02,1.0581,0.3947,708.9584,11.61,2415
212,500,10469376,4244.0,92.0,1.0979,0.3418,712.5834,11.58,2427
213,500,10518528,4245.0,89.1,1.104,0.3459,715.2917,11.58,2438
214,500,10567680,4240.0,80.8,1.093,0.3784,717.0417,11.59,2450
215,500,10616832,4245.0,87.17,1.1004,0.3906,718.2084,11.58,2462
216,500,10665984,4240.0,87.76,1.0904,0.5514,719.75,11.59,2473
217,500,10715136,4241.0,89.67,1.0924,0.3947,721.9167,11.59,2485
218,500,10764288,4240.0,91.83,1.1131,0.6083,727.1667,11.59,2496
219,500,10813440,4255.0,86.99,1.1213,0.3499,732.7917,11.55,2508
220,500,10862592,4263.0,83.2,1.1079,0.4049,734.625,11.53,2519
221,500,10911744,4255.0,90.26,1.1066,0.3052,737.3334,11.55,2531
222,500,10960896,4254.0,92.39,1.076,0.2726,739.0,11.55,2543
223,500,11010048,4257.0,90.54,1.0856,0.2686,739.0,11.55,2554
224,500,11059200,4260.0,87.03,1.1162,0.3988,741.2084,11.54,2566
225,500,11108352,4256.0,89.38,1.1117,0.2299,742.625,11.55,2577
226,500,11157504,4268.0,96.81,1.0927,0.238,743.375,11.51,2589
227,500,11206656,4270.0,97.39,1.0705,0.2869,746.5834,11.51,2600
228,500,11255808,4251.0,92.79,1.0971,0.3418,748.875,11.56,2612
229,500,11304960,4259.0,94.13,1.1402,0.2686,754.2084,11.54,2623
230,500,11354112,4257.0,88.58,1.1321,0.4313,758.625,11.54,2635
231,500,11403264,4257.0,92.68,1.1083,0.3886,762.4584,11.54,2646
232,500,11452416,4258.0,91.53,1.1079,0.6775,770.625,11.54,2658
233,500,11501568,4268.0,83.97,1.0686,0.3682,774.7084,11.52,2669
234,500,11550720,4262.0,89.87,1.0773,0.5554,779.2917,11.53,2681
235,500,11599872,4266.0,91.42,1.0976,0.3805,785.625,11.52,2693
236,500,11649024,4273.0,88.96,1.0761,0.3642,786.0,11.5,2704
237,500,11698176,4256.0,92.06,1.0909,0.4964,787.5,11.55,2716
238,500,11747328,4266.0,91.51,1.1476,0.4639,790.2917,11.52,2727
239,500,11796480,4259.0,81.21,1.1511,0.4313,796.625,11.54,2739
240,500,11845632,4250.0,86.81,1.1026,0.3092,801.0417,11.57,2750
241,500,11894784,4240.0,92.87,1.0613,0.3743,803.375,11.59,2762
242,500,11943936,4251.0,90.26,1.0513,0.2991,805.2084,11.56,2773
243,500,11993088,4249.0,89.79,1.0425,0.4293,808.0,11.57,2785
244,500,12042240,4255.0,94.33,1.024,0.2787,809.5,11.55,2796
245,500,12091392,4270.0,93.73,1.0371,0.297,811.0,11.51,2808
246,500,12140544,4250.0,94.79,1.0281,0.1485,811.375,11.56,2820
247,500,12189696,4254.0,86.57,1.0484,0.356,813.2084,11.55,2831
248,500,12238848,4257.0,91.96,1.1155,0.5025,815.2917,11.54,2843
249,500,12288000,4235.0,95.38,1.1506,0.4578,817.8334,11.6,2854
250,500,12337152,4261.0,96.94,1.1749,0.2136,820.2084,11.53,2866
251,500,12386304,4256.0,92.48,1.1991,0.2747,821.0,11.55,2877
252,500,12435456,4256.0,90.63,1.2179,0.2706,821.125,11.55,2889
253,500,12484608,4255.0,91.15,1.1894,0.2747,823.2917,11.55,2900
254,500,12533760,4268.0,97.39,1.1264,0.415,826.375,11.52,2912
255,500,12582912,4268.0,90.63,1.078,0.2706,828.2084,11.52,2923
256,500,12632064,4258.0,92.68,1.0565,0.2319,829.75,11.54,2935
257,500,12681216,4273.0,95.3,1.051,0.295,831.5417,11.5,2947
258,500,12730368,4266.0,94.6,1.1088,0.2035,832.2917,11.52,2958
259,500,12779520,4266.0,91.02,1.1667,0.1973,833.0,11.52,2970
260,500,12828672,4264.0,91.93,1.0983,0.3235,833.8334,11.52,2981
261,500,12877824,4260.0,92.3,1.0569,0.3215,836.9167,11.54,2993
262,500,12926976,4276.0,95.79,1.0572,0.1953,840.0834,11.49,3004
263,500,12976128,4278.0,94.52,1.079,0.2787,843.0,11.49,3016
264,500,13025280,4275.0,101.17,1.1014,0.1139,845.0,11.5,3027
265,500,13074432,4281.0,95.16,1.1026,0.2096,845.8334,11.48,3039
266,500,13123584,4270.0,98.09,1.1195,0.2625,847.0,11.51,3050
267,500,13172736,4266.0,97.13,1.1653,0.3255,848.2084,11.52,3062
268,500,13221888,4275.0,94.89,1.1824,0.2869,850.0,11.5,3073
269,500,13271040,4278.0,97.03,1.2236,0.118,850.0417,11.49,3085
